date,PX,ret_1d,logret_1d,sma_5,sma_20,ema_12,ema_26,sma_cross,bb_mid_20,bb_up_20,bb_lo_20,bb_pos,rsi_14,macd,macd_sig_9,macd_hist,vol_20d,roc_12,Volume,avg_sentiment,sentiment_lag1,z_rsi,z_macd,z_px_roc,composite,signal,future_ret
2025-05-12,449.26,0.0240010940669659,0.0237175950415166,438.564,403.127,424.0618330377051,407.94373989655753,1,403.127,462.2361557962716,344.01784420372843,0.7804713056468642,75.23940469032516,16.118093141147597,10.59582451751394,5.522268623633657,0.3627401201769699,0.15997934417764,22821935.0,0.0,0.0,,,,,0,-0.00026710590749234875
2025-05-13,449.14,-0.0002671059074923,-0.0002671415866288,441.73,406.1935,427.9200125703659,410.9953147190348,1,406.1935,468.2469670221917,344.14003297780835,0.6920886464674301,75.13086932742391,16.924697851331132,11.86159918427738,5.063098667053753,0.3623223305232327,0.1462039045553145,23618819.0,0.0,0.0,,,,,0,0.008460613617135015
2025-05-14,452.94,0.008460613617135,0.0084250232291931,445.648,409.554,431.7692414056942,414.10232844355073,1,409.554,474.1680393413116,344.9399606586884,0.6714639796905684,76.29692077820079,17.666912962143442,13.022661939850591,4.644251022292849,0.3591951365016221,0.1579404847121381,19902796.0,0.0,0.0,,,,,0,0.00041948160904303755
2025-05-15,453.13,0.000419481609043,0.0004193936512298,448.64,413.63,435.0555119586643,416.9932670773618,1,413.63,478.4503541782213,348.8096458217787,0.609376491393369,76.35661351319689,18.06224488130249,14.030578528140977,4.031666353161516,0.3187485056948096,0.1499593949852806,21992323.0,0.0,0.0,1.0850049017194652,1.3585739710624543,0.6406662182163182,0.780877649485218,1,0.0025158343080351475
2025-05-16,454.27,0.0025158343080351,0.002512674894833,451.74799999999993,417.9545,438.0115870419467,419.7545065531127,1,417.9545,481.42157906673935,354.48742093326064,0.5721942861402537,76.73518872843695,18.257080488833992,14.87587892027958,3.381201568554413,0.3110703021472739,0.1492941355057431,23849781.0,0.0,0.0,1.0567921231893238,1.2886757000367877,0.6121082276228214,0.7477652293150492,1,0.010126136438681987
2025-05-19,458.87,0.0101261364386819,0.010075210618417,453.67,422.942,441.220573650878,422.6519505121414,1,422.942,482.4989779728939,363.3850220271061,0.6032542486684244,78.24863392033242,18.56862313873654,15.614427763970973,2.9541953747655683,0.2834092895542081,0.0786788904560413,21336509.0,0.0,0.0,1.1131940959629907,1.2430604935920442,-0.24181653450094198,0.4487681555152795,1,-0.0015254865212369628
2025-05-20,458.17,-0.0015254865212369,-0.0015266512604802,455.476,427.5095,443.82817770458905,425.2829171408716,1,427.5095,482.8029786199545,372.2160213800455,0.5545048125971073,77.42323599076514,18.54526056371742,16.200594323920264,2.3446662397971565,0.2853639572843421,0.0525868406542915,15441808.0,0.0,0.0,1.0023866648199353,1.174071021305316,-0.550937298476947,0.30116703382338467,1,-0.012222537486086038
2025-05-21,452.57,-0.012222537486086,-0.0122978469752236,455.402,431.4185,445.17307344234456,427.3041825378441,1,431.4185,481.7296235058579,381.107376494142,0.4204139865319702,70.97328808376645,17.86889090450046,16.534253640036304,1.3346372644641562,0.294695984467877,0.0376000183414724,19216906.0,0.0,0.0,0.49018121484114124,1.0521106242928249,-0.717209406134383,0.11004060689440041,1,0.005059990719667784
2025-05-22,454.86,0.0050599907196677,0.005047231987903,455.74799999999993,434.7965,446.66336983583,429.3453542017075,1,434.7965,481.584009928012,388.00899007198814,0.428821709701372,72.00051654981574,17.318015634122503,16.691006038853544,0.6270095952689587,0.2804382301167935,0.0497334471856176,18025612.0,0.0,0.0,0.5562332494568942,0.9547218661369401,-0.5475459803403087,0.15828602330650587,1,-0.010288880094974306
2025-05-23,450.18,-0.0102888800949743,-0.0103421765105752,454.93,437.713,447.20438986108695,430.8886612978773,1,437.713,480.3132679013152,395.1127320986848,0.2926507417483893,66.7978416685789,16.315728563209632,16.61595054372476,-0.3002219805151291,0.2874538280224342,0.0388369678089304,16883509.0,0.0,0.0,0.13794806522739747,0.8202796765875293,-0.669804943928258,-0.0017721981825284394,1,0.02334621706872797
2025-05-27,460.69,0.0233462170687279,0.0230778628211841,455.294,441.18950000000007,449.27909911322746,433.0961678684049,1,441.18950000000007,478.8563445439145,403.5226554560856,0.5177099445445976,71.73697997715526,16.182931244822555,16.529346683944322,-0.3464154391217668,0.2909832172620896,0.0513955770591323,20974293.0,0.0,0.0,0.5278107408883431,0.7818219263989118,-0.4935013086477807,0.12829217175067334,1,-0.007228288002778416
2025-05-28,457.36,-0.0072282880027784,-0.0072545386511607,455.132,444.3555,450.5223146342694,434.8934887670416,1,444.3555,475.3977350490875,413.3132649509124,0.4189292420289921,68.27159778572944,15.62882586722776,16.34924252060101,-0.720416653373249,0.2961087504943545,0.0424634741184783,17086261.0,0.0,0.0,0.2369564651826731,0.7026324633671966,-0.59769375819769,0.013856593509142298,1,0.0028861290886827984
